Organisation,Launch Pad,Launch Center,Launch State,Launch Country,Month,Year
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Mar,1987
ISRO,SLV LP,Satish Dhawan Space Centre,,India,Mar,1987
RVSN USSR,Site 45/1,Baikonur Cosmodrome,,Kazakhstan,Mar,1987
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,Mar,1987
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,Mar,1987
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,Feb,1987
MHI,LA-Y1,Tanegashima Space Center,,Japan,Feb,1987
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Feb,1987
RVSN USSR,Site 45/1,Baikonur Cosmodrome,,Kazakhstan,Feb,1987
Martin Marietta,SLC-4W,Vandenberg AFB,California,USA,Feb,1987
ISAS,Mu Pad,Uchinoura Space Center,,Japan,Feb,1987
RVSN USSR,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,Feb,1987
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Jan,1987
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Jan,1987
RVSN USSR,Site 107/1,Kapustin Yar,,Russia,Jan,1987
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Jan,1987
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,Jan,1987
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,Jan,1987
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Dec,1986
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,Dec,1986
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,Dec,1986
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Dec,1986
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Dec,1986
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,Dec,1986
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Dec,1986
RVSN USSR,Site 32/1,Plesetsk Cosmodrome,,Russia,Dec,1986
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Nov,1986
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Nov,1986
RVSN USSR,Site 16/2,Plesetsk Cosmodrome,,Russia,Nov,1986
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Nov,1986
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Nov,1986
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,Oct,1986
RVSN USSR,Site 45/1,Baikonur Cosmodrome,,Kazakhstan,Oct,1986
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Oct,1986
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Oct,1986
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,Oct,1986
CASC,Site 138 (LA-2B),Jiuquan Satellite Launch Center,,China,Oct,1986
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Oct,1986
RVSN USSR,Site 32/1,Plesetsk Cosmodrome,,Russia,Sep,1986
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Sep,1986
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,Sep,1986
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Sep,1986
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Sep,1986
RVSN USSR,Site 16/2,Plesetsk Cosmodrome,,Russia,Aug,1986
RVSN USSR,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,Aug,1986
MHI,LA-Y1,Tanegashima Space Center,,Japan,Aug,1986
RVSN USSR,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,Aug,1986
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Jul,1986
RVSN USSR,Site 45/1,Baikonur Cosmodrome,,Kazakhstan,Jul,1986
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,Jul,1986
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,Jul,1986
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Jul,1986
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Jun,1986
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Jun,1986
RVSN USSR,Site 32/1,Plesetsk Cosmodrome,,Russia,Jun,1986
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Jun,1986
Arianespace,ELA-1,Guiana Space Centre,French Guiana,France,May,1986
RVSN USSR,Site 32/1,Plesetsk Cosmodrome,,Russia,May,1986
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,May,1986
RVSN USSR,Site 32/1,Plesetsk Cosmodrome,,Russia,May,1986
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Apr,1986
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Apr,1986
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Apr,1986
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Mar,1986
RVSN USSR,Site 90/19,Baikonur Cosmodrome,,Kazakhstan,Mar,1986
RVSN USSR,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,Mar,1986
RVSN USSR,Site 90/19,Baikonur Cosmodrome,,Kazakhstan,Feb,1986
Arianespace,ELV-1 (SLV),Guiana Space Centre,French Guiana,France,Feb,1986
RVSN USSR,Site 32/1,Plesetsk Cosmodrome,,Russia,Feb,1986
MHI,LA-Y1,Tanegashima Space Center,,Japan,Feb,1986
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,Feb,1986
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,Feb,1986
RVSN USSR,Site 16/2,Plesetsk Cosmodrome,,Russia,Feb,1986
CASC,LC-3,Xichang Satellite Launch Center,,China,Feb,1986
NASA,LC-39A,Kennedy Space Center,Florida,USA,Jan,1986
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Jan,1986
RVSN USSR,Site 32/1,Plesetsk Cosmodrome,,Russia,Jan,1986
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Jan,1986
NASA,LC-39A,Kennedy Space Center,Florida,USA,Jan,1986
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Jan,1986
RVSN USSR,Site 45/1,Baikonur Cosmodrome,,Kazakhstan,Dec,1985
RVSN USSR,Site 32/1,Plesetsk Cosmodrome,,Russia,Dec,1985
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Dec,1985
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Dec,1985
RVSN USSR,Site 32/1,Plesetsk Cosmodrome,,Russia,Dec,1985
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,Nov,1985
NASA,LC-39A,Kennedy Space Center,Florida,USA,Nov,1985
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,Nov,1985
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Nov,1985
NASA,LC-39A,Kennedy Space Center,Florida,USA,Nov,1985
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Oct,1985
RVSN USSR,Site 32/1,Plesetsk Cosmodrome,,Russia,Oct,1985
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,Oct,1985
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Oct,1985
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Oct,1985
RVSN USSR,Site 45/1,Baikonur Cosmodrome,,Kazakhstan,Oct,1985
CASC,Site 138 (LA-2B),Jiuquan Satellite Launch Center,,China,Oct,1985
RVSN USSR,Site 32/1,Plesetsk Cosmodrome,,Russia,Oct,1985
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Oct,1985
NASA,LC-39A,Kennedy Space Center,Florida,USA,Oct,1985
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Oct,1985
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Oct,1985
RVSN USSR,Site 107/1,Kapustin Yar,,Russia,Oct,1985
RVSN USSR,Site 16/2,Plesetsk Cosmodrome,,Russia,Sep,1985
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Sep,1985
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Sep,1985
RVSN USSR,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,Sep,1985
Arianespace,ELA-1,Guiana Space Centre,French Guiana,France,Sep,1985
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Sep,1985
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Aug,1985
NASA,LC-39A,Kennedy Space Center,Florida,USA,Aug,1985
RVSN USSR,Site 90/19,Baikonur Cosmodrome,,Kazakhstan,Aug,1985
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Aug,1985
ISAS,Mu Pad,Uchinoura Space Center,,Japan,Aug,1985
RVSN USSR,Site 32/1,Plesetsk Cosmodrome,,Russia,Aug,1985
RVSN USSR,Site 90/19,Baikonur Cosmodrome,,Kazakhstan,Aug,1985
NASA,LC-39A,Kennedy Space Center,Florida,USA,Jul,1985
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Jul,1985
RVSN USSR,Site 32/1,Plesetsk Cosmodrome,,Russia,Jul,1985
Arianespace,ELV-1 (SLV),Guiana Space Centre,French Guiana,France,Jul,1985
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Jun,1985
RVSN USSR,Site 45/1,Baikonur Cosmodrome,,Kazakhstan,Jun,1985
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Jun,1985
RVSN USSR,Site 16/2,Plesetsk Cosmodrome,,Russia,Jun,1985
NASA,LC-39A,Kennedy Space Center,Florida,USA,Jun,1985
RVSN USSR,Site 32/1,Plesetsk Cosmodrome,,Russia,Jun,1985
RVSN USSR,Site 16/2,Plesetsk Cosmodrome,,Russia,Jun,1985
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Jun,1985
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,May,1985
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,May,1985
Arianespace,ELA-1,Guiana Space Centre,French Guiana,France,May,1985
NASA,LC-39A,Kennedy Space Center,Florida,USA,May,1985
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Apr,1985
RVSN USSR,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,Apr,1985
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,Apr,1985
RVSN USSR,Site 45/1,Baikonur Cosmodrome,,Kazakhstan,Apr,1985
NASA,LC-39A,Kennedy Space Center,Florida,USA,Apr,1985
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Mar,1985
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Mar,1985
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Mar,1985
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Mar,1985
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,Mar,1985
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Feb,1985
Arianespace,ELA-1,Guiana Space Centre,French Guiana,France,Feb,1985
Martin Marietta,SLC-4W,Vandenberg AFB,California,USA,Feb,1985
ISAS,Mu Pad,Uchinoura Space Center,,Japan,Feb,1985
RVSN USSR,Site 32/1,Plesetsk Cosmodrome,,Russia,Feb,1985
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Feb,1985
NASA,LC-39A,Kennedy Space Center,Florida,USA,Jan,1985
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,Jan,1985
RVSN USSR,Site 90/19,Baikonur Cosmodrome,,Kazakhstan,Jan,1985
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Jan,1985
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Jan,1985
RVSN USSR,Site 32/1,Plesetsk Cosmodrome,,Russia,Jan,1985
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Dec,1984
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Dec,1984
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,Dec,1984
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Dec,1984
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Dec,1984
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Dec,1984
RVSN USSR,Site 32/1,Plesetsk Cosmodrome,,Russia,Nov,1984
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Nov,1984
Arianespace,ELA-1,Guiana Space Centre,French Guiana,France,Nov,1984
NASA,LC-39A,Kennedy Space Center,Florida,USA,Nov,1984
RVSN USSR,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,Oct,1984
RVSN USSR,Site 32/1,Plesetsk Cosmodrome,,Russia,Oct,1984
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Oct,1984
NASA,LC-39A,Kennedy Space Center,Florida,USA,Oct,1984
RVSN USSR,Site 16/2,Plesetsk Cosmodrome,,Russia,Oct,1984
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,Sep,1984
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Sep,1984
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Sep,1984
CASC,Site 138 (LA-2B),Jiuquan Satellite Launch Center,,China,Sep,1984
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Sep,1984
RVSN USSR,Site 16/2,Plesetsk Cosmodrome,,Russia,Sep,1984
NASA,LC-39A,Kennedy Space Center,Florida,USA,Aug,1984
RVSN USSR,Site 90/19,Baikonur Cosmodrome,,Kazakhstan,Aug,1984
Martin Marietta,SLC-4W,Vandenberg AFB,California,USA,Aug,1984
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Aug,1984
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Aug,1984
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,Aug,1984
RVSN USSR,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,Aug,1984
Arianespace,ELA-1,Guiana Space Centre,French Guiana,France,Aug,1984
MHI,LA-Y1,Tanegashima Space Center,,Japan,Aug,1984
RVSN USSR,Site 16/2,Plesetsk Cosmodrome,,Russia,Aug,1984
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,Jul,1984
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Jul,1984
RVSN USSR,Site 107/1,Kapustin Yar,,Russia,Jun,1984
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Jun,1984
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Jun,1984
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Jun,1984
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Jun,1984
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Jun,1984
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Jun,1984
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,Jun,1984
RVSN USSR,Site 16/2,Plesetsk Cosmodrome,,Russia,Jun,1984
RVSN USSR,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,May,1984
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,May,1984
Arianespace,ELV-1 (SLV),Guiana Space Centre,French Guiana,France,May,1984
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,May,1984
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,May,1984
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,May,1984
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Apr,1984
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Apr,1984
CASC,LC-3,Xichang Satellite Launch Center,,China,Apr,1984
NASA,LC-39A,Kennedy Space Center,Florida,USA,Apr,1984
RVSN USSR,Site 16/2,Plesetsk Cosmodrome,,Russia,Apr,1984
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Mar,1984
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,Mar,1984
RVSN USSR,Site 16/2,Plesetsk Cosmodrome,,Russia,Mar,1984
ESA,ELV-1 (SLV),Guiana Space Centre,French Guiana,France,Mar,1984
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Feb,1984
ISAS,Mu Pad,Uchinoura Space Center,,Japan,Feb,1984
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,Feb,1984
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,Feb,1984
NASA,LC-39A,Kennedy Space Center,Florida,USA,Feb,1984
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Feb,1984
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Jan,1984
CASC,LC-3,Xichang Satellite Launch Center,,China,Jan,1984
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Jan,1984
MHI,LA-Y1,Tanegashima Space Center,,Japan,Jan,1984
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Jan,1984
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Jan,1984
RVSN USSR,Site 16/2,Plesetsk Cosmodrome,,Russia,Dec,1983
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,Dec,1983
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Dec,1983
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,Dec,1983
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Dec,1983
NASA,LC-39A,Kennedy Space Center,Florida,USA,Nov,1983
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,Nov,1983
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Nov,1983
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Nov,1983
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Nov,1983
RVSN USSR,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,Oct,1983
RVSN USSR,Site 16/2,Plesetsk Cosmodrome,,Russia,Oct,1983
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Oct,1983
ESA,ELV-1 (SLV),Guiana Space Centre,French Guiana,France,Oct,1983
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Oct,1983
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Oct,1983
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Sep,1983
RVSN USSR,Site 32/1,Plesetsk Cosmodrome,,Russia,Sep,1983
NASA,LC-39A,Kennedy Space Center,Florida,USA,Sep,1983
RVSN USSR,Site 107/1,Kapustin Yar,,Russia,Aug,1983
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Aug,1983
CASC,Site 138 (LA-2B),Jiuquan Satellite Launch Center,,China,Aug,1983
MHI,LA-Y1,Tanegashima Space Center,,Japan,Aug,1983
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Aug,1983
Martin Marietta,SLC-4W,Vandenberg AFB,California,USA,Jul,1983
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Jul,1983
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Jul,1983
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Jul,1983
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Jul,1983
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Jul,1983
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Jul,1983
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,Jun,1983
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Jun,1983
NASA,LC-39A,Kennedy Space Center,Florida,USA,Jun,1983
ESA,ELV-1 (SLV),Guiana Space Centre,French Guiana,France,Jun,1983
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,Jun,1983
RVSN USSR,Site 107/1,Kapustin Yar,,Russia,May,1983
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,May,1983
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,May,1983
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,May,1983
RVSN USSR,Site 90/19,Baikonur Cosmodrome,,Kazakhstan,May,1983
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,May,1983
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,May,1983
RVSN USSR,Site 16/2,Plesetsk Cosmodrome,,Russia,Apr,1983
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,Apr,1983
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Apr,1983
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Apr,1983
ISRO,SLV LP,Satish Dhawan Space Centre,,India,Apr,1983
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Apr,1983
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Apr,1983
NASA,LC-39A,Kennedy Space Center,Florida,USA,Apr,1983
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Apr,1983
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Mar,1983
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Mar,1983
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Mar,1983
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Mar,1983
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,Mar,1983
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Mar,1983
ISAS,Mu Pad,Uchinoura Space Center,,Japan,Feb,1983
RVSN USSR,Site 16/2,Plesetsk Cosmodrome,,Russia,Feb,1983
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,Feb,1983
MHI,LA-Y1,Tanegashima Space Center,,Japan,Feb,1983
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Jan,1983
RVSN USSR,Site 16/2,Plesetsk Cosmodrome,,Russia,Jan,1983
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Jan,1983
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Jan,1983
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Dec,1982
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Dec,1982
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Dec,1982
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Dec,1982
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Nov,1982
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Nov,1982
NASA,LC-39A,Kennedy Space Center,Florida,USA,Nov,1982
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Nov,1982
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Oct,1982
RVSN USSR,Site 107/1,Kapustin Yar,,Russia,Oct,1982
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Oct,1982
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Sep,1982
RVSN USSR,Site 32/1,Plesetsk Cosmodrome,,Russia,Sep,1982
RVSN USSR,Site 16/2,Plesetsk Cosmodrome,,Russia,Sep,1982
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,Sep,1982
CASC,Site 138 (LA-2B),Jiuquan Satellite Launch Center,,China,Sep,1982
ESA,ELV-1 (SLV),Guiana Space Centre,French Guiana,France,Sep,1982
RVSN USSR,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,Sep,1982
MHI,LA-Y1,Tanegashima Space Center,,Japan,Sep,1982
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Aug,1982
RVSN USSR,Site 90/19,Baikonur Cosmodrome,,Kazakhstan,Aug,1982
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Aug,1982
RVSN USSR,Site 16/2,Plesetsk Cosmodrome,,Russia,Aug,1982
RVSN USSR,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,Aug,1982
RVSN USSR,Site 107/1,Kapustin Yar,,Russia,Jul,1982
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Jul,1982
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Jul,1982
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Jul,1982
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Jun,1982
NASA,LC-39A,Kennedy Space Center,Florida,USA,Jun,1982
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Jun,1982
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Jun,1982
RVSN USSR,Site 90/19,Baikonur Cosmodrome,,Kazakhstan,Jun,1982
RVSN USSR,Site 32/1,Plesetsk Cosmodrome,,Russia,Jun,1982
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Jun,1982
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,Jun,1982
RVSN USSR,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,Jun,1982
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Jun,1982
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,May,1982
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,May,1982
RVSN USSR,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,May,1982
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,May,1982
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,May,1982
RVSN USSR,Site 16/2,Plesetsk Cosmodrome,,Russia,May,1982
RVSN USSR,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,Apr,1982
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Apr,1982
RVSN USSR,Site 107/1,Kapustin Yar,,Russia,Apr,1982
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Apr,1982
RVSN USSR,Site 16/2,Plesetsk Cosmodrome,,Russia,Apr,1982
RVSN USSR,Site 16/2,Plesetsk Cosmodrome,,Russia,Mar,1982
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Mar,1982
RVSN USSR,Site 32/1,Plesetsk Cosmodrome,,Russia,Mar,1982
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Mar,1982
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Mar,1982
NASA,LC-39A,Kennedy Space Center,Florida,USA,Mar,1982
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Mar,1982
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Mar,1982
RVSN USSR,Site 107/1,Kapustin Yar,,Russia,Mar,1982
RVSN USSR,Site 16/2,Plesetsk Cosmodrome,,Russia,Mar,1982
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Feb,1982
RVSN USSR,Site 16/2,Plesetsk Cosmodrome,,Russia,Feb,1982
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Feb,1982
